ticker,current_price,prev_close,day_change_pct,week_change_pct,pe_ratio,dividend_yield,beta,market_cap_b,last_earnings_date,next_earnings_date
AAPL,178.45,176.20,1.28,3.45,28.5,0.52,1.15,2780,2024-02-01,2024-05-02
MSFT,380.25,378.90,0.36,2.10,34.2,0.78,0.95,2825,2024-01-30,2024-04-25
JPM,168.90,167.30,0.96,1.85,10.8,2.45,1.18,485,2024-01-12,2024-04-12
JNJ,162.75,163.20,-0.28,0.45,24.3,3.05,0.55,395,2024-01-23,2024-04-16
NVDA,725.50,718.40,0.99,8.75,68.5,0.04,1.75,1785,2024-02-21,2024-05-22
GOOGL,142.85,141.90,0.67,2.90,25.8,0.00,1.08,1795,2024-01-30,2024-04-25
V,272.30,270.80,0.55,1.95,32.4,0.82,0.98,565,2024-01-25,2024-04-23
PG,158.60,159.10,-0.31,-0.85,25.6,2.42,0.42,375,2024-01-19,2024-04-19
TSLA,195.75,192.30,1.79,4.25,42.8,0.00,2.15,620,2024-01-24,2024-04-23
META,395.80,392.50,0.84,5.60,28.9,0.00,1.25,1005,2024-01-31,2024-04-24
XOM,103.25,102.90,0.34,-1.20,11.2,3.45,0.85,425,2024-02-02,2024-04-26
UNH,512.40,508.70,0.73,2.35,26.5,1.35,0.75,480,2024-01-12,2024-04-16
BND,72.85,72.90,-0.07,0.15,0.0,4.25,0.08,0,,,
AGG,98.40,98.50,-0.10,0.25,0.0,3.85,0.06,0,,,
TLT,91.20,91.60,-0.44,1.85,0.0,4.65,0.18,0,,,


